lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
create,VERB,taxonomy-hyponym,gain,make.v.03,cause.v.01,"{'make.v.03': 25, 'cause.v.01': 0}","{'make.v.03': 66, 'cause.v.01': 66}"
woman,NOUN,taxonomy-hyponym,gain,woman.n.01,girl.n.01,"{'woman.n.01': 52, 'girl.n.01': 0}","{'woman.n.01': 84, 'girl.n.01': 84}"
cause,VERB,taxonomy-hyponym,gain,cause.v.01,determine.v.02,"{'cause.v.01': 27, 'determine.v.02': 0}","{'cause.v.01': 19, 'determine.v.02': 19}"
choose,VERB,taxonomy-hyponym,gain,choose.v.01,specify.v.02,"{'choose.v.01': 55, 'specify.v.02': 0}","{'choose.v.01': 21, 'specify.v.02': 21}"
state,VERB,taxonomy-hyponym,gain,state.v.01,give.v.04,"{'state.v.01': 25, 'give.v.04': 0}","{'state.v.01': 46, 'give.v.04': 46}"
individual,NOUN,taxonomy-hyponym,gain,person.n.01,neighbor.n.01,"{'person.n.01': 25, 'neighbor.n.01': 0}","{'person.n.01': 23, 'neighbor.n.01': 23}"
expect,VERB,taxonomy-hyponym,gain,expect.v.01,speculate.v.01,"{'expect.v.01': 161, 'speculate.v.01': 0}","{'expect.v.01': 28, 'speculate.v.01': 28}"
determine,VERB,taxonomy-hyponym,gain,determine.v.01,count.v.01,"{'determine.v.01': 85, 'count.v.01': 0}","{'determine.v.01': 21, 'count.v.01': 21}"
improve,VERB,taxonomy-hyponym,gain,better.v.02,help.v.02,"{'better.v.02': 42, 'help.v.02': 0}","{'better.v.02': 23, 'help.v.02': 23}"
kill,VERB,taxonomy-hyponym,gain,kill.v.01,shoot.v.02,"{'kill.v.01': 63, 'shoot.v.02': 0}","{'kill.v.01': 23, 'shoot.v.02': 23}"
person,NOUN,taxonomy-hyponym,constant,person.n.01,neighbor.n.01,"{'person.n.01': 48, 'neighbor.n.01': 11}","{'person.n.01': 48, 'neighbor.n.01': 11}"
take_place,VERB,taxonomy-hyponym,constant,happen.v.01,come.v.03,"{'happen.v.01': 24, 'come.v.03': 62}","{'happen.v.01': 24, 'come.v.03': 62}"
create,VERB,taxonomy-hyponym,constant,make.v.03,cause.v.01,"{'make.v.03': 45, 'cause.v.01': 34}","{'make.v.03': 45, 'cause.v.01': 34}"
talk,VERB,taxonomy-hyponym,constant,talk.v.01,continue.v.02,"{'talk.v.01': 49, 'continue.v.02': 32}","{'talk.v.01': 49, 'continue.v.02': 32}"
kill,VERB,taxonomy-hyponym,constant,kill.v.01,shoot.v.02,"{'kill.v.01': 41, 'shoot.v.02': 11}","{'kill.v.01': 41, 'shoot.v.02': 11}"
method,NOUN,taxonomy-hyponym,constant,method.n.01,technique.n.01,"{'method.n.01': 45, 'technique.n.01': 29}","{'method.n.01': 45, 'technique.n.01': 29}"
arrive,VERB,taxonomy-hyponym,constant,arrive.v.01,reach.v.02,"{'arrive.v.01': 26, 'reach.v.02': 20}","{'arrive.v.01': 26, 'reach.v.02': 20}"
prevent,VERB,taxonomy-hyponym,constant,prevent.v.01,stop.v.03,"{'prevent.v.01': 30, 'stop.v.03': 15}","{'prevent.v.01': 30, 'stop.v.03': 15}"
region,NOUN,taxonomy-hyponym,constant,region.n.01,county.n.01,"{'region.n.01': 30, 'county.n.01': 16}","{'region.n.01': 30, 'county.n.01': 16}"
expect,VERB,taxonomy-hyponym,constant,expect.v.01,assume.v.01,"{'expect.v.01': 91, 'assume.v.01': 39}","{'expect.v.01': 91, 'assume.v.01': 39}"
