sentence_id,word_id,old_lemma,new_lemma
a1e-fragment01_6,,,
a1e-fragment01_8,,,
a1e-fragment01_9,,,
a1e-fragment01_10,,,
a1e-fragment01_11,,,
a1e-fragment01_12,,,
a1e-fragment01_13,,,
a1e-fragment01_15,,,
a1e-fragment01_17,,,
a1e-fragment01_21,,,
a1e-fragment01_22,,,
a1e-fragment01_23,,,
a1e-fragment01_24,,,
a1e-fragment01_26,,,
a1e-fragment01_27,,,
a1e-fragment01_30,,,
a1f-fragment07_148,,,
a1f-fragment08_158,,,
a1f-fragment08_159,,,
a1f-fragment08_161,,,
a1f-fragment08_162,,,
a1f-fragment09_167,,,
a1f-fragment09_168,,,
a1f-fragment09_169,,,
a1f-fragment09_171,,,
a1f-fragment10_176,,,
a1f-fragment10_177,,,
a1f-fragment10_180,,,
a1f-fragment11_183,,,
a1f-fragment11_190,,,
a1f-fragment11_191,,,
a1f-fragment11_192,,,
a1f-fragment11_194,,,
a1f-fragment12_195,,,
a1f-fragment12_197,,,
a1f-fragment12_198,,,
a1g-fragment26_387,,,
a1g-fragment26_388,,,
a1g-fragment26_389,,,
a1g-fragment26_392,,,
a1g-fragment26_393,,,
a1g-fragment26_394,,,
a1g-fragment26_395,,,
a1g-fragment26_399,,,
a1g-fragment26_402,,,
a1g-fragment26_403,,,
a1g-fragment26_404,,,
a1g-fragment27_405,,,
a1g-fragment27_410,,,
a1g-fragment27_412,,,
a1g-fragment27_414,,,
a1g-fragment27_416,,,
a1g-fragment27_417,,,
a1g-fragment27_420,,,
a1g-fragment27_421,,,
a1g-fragment27_424,,,
a1g-fragment27_425,,,
a1g-fragment27_426,,,
a1g-fragment27_428,,,
a1h-fragment05_69,,,
a1h-fragment05_70,,,
a1h-fragment05_71,,,
a1h-fragment05_72,,,
a1h-fragment05_75,,,
a1h-fragment05_77,,,
a1h-fragment05_80,,,
a1h-fragment05_82,,,
a1h-fragment05_83,,,
a1h-fragment05_84,,,
a1h-fragment05_85,,,
a1h-fragment05_86,,,
a1h-fragment05_88,,,
a1h-fragment05_89,,,
a1h-fragment05_90,,,
a1h-fragment05_92,,,
a1h-fragment05_95,,,
a1h-fragment05_96,,,
a1h-fragment05_98,,,
a1h-fragment05_99,,,
a1h-fragment05_101,,,
a1h-fragment05_102,,,
a1h-fragment05_104,,,
a1h-fragment05_105,,,
a1h-fragment05_108,,,
a1h-fragment05_109,,,
a1h-fragment05_110,,,
a1h-fragment05_112,,,
a1h-fragment05_113,,,
a1h-fragment06_114,,,
a1h-fragment06_116,,,
a1h-fragment06_117,,,
a1h-fragment06_119,,,
a1h-fragment06_121,,,
a1h-fragment06_123,,,
a1h-fragment06_124,,,
a1h-fragment06_126,,,
a1h-fragment06_128,,,
a1h-fragment06_129,,,
a1h-fragment06_132,,,
a1h-fragment06_133,,,
a1h-fragment06_134,,,
a1h-fragment06_137,,,
a1h-fragment06_140,,,
a1h-fragment06_142,,,
a1h-fragment06_144,,,
a1j-fragment33_494,,,
a1j-fragment33_497,,,
a1j-fragment33_499,,,
a1j-fragment33_500,,,
a1j-fragment33_504,,,
a1j-fragment33_505,,,
a1j-fragment33_506,,,
a1j-fragment33_507,,,
a1j-fragment33_512,,,
a1j-fragment33_516,,,
a1j-fragment33_519,,,
a1j-fragment33_520,,,
a1j-fragment33_523,,,
a1j-fragment33_525,,,
a1j-fragment34_533,,,
a1j-fragment34_534,,,
a1j-fragment34_535,,,
a1j-fragment34_536,,,
a1j-fragment34_537,,,
a1j-fragment34_538,,,
a1j-fragment34_539,,,
a1j-fragment34_542,,,
a1j-fragment34_547,,,
a1j-fragment34_549,,,
a1j-fragment34_555,,,
a1j-fragment34_557,,,
a1j-fragment34_558,,,
a1k-fragment02_29,,,
a1k-fragment02_32,,,
a1k-fragment02_33,,,
a1k-fragment02_34,,,
a1k-fragment02_35,,,
a1k-fragment02_38,,,
a1k-fragment02_39,,,
a1k-fragment02_46,,,
a1k-fragment02_47,,,
a1k-fragment02_49,,,
a1k-fragment02_50,,,
a1k-fragment02_52,,,
a1k-fragment02_54,,,
a1k-fragment02_58,,,
